Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,30.000000,30.139999,29.490000,29.990000,29.990000,976326
2020-01-07,30.260000,30.540001,29.934999,30.410000,30.410000,1036410
2020-01-08,30.420000,30.500000,29.219999,30.080000,30.080000,1399559
2020-01-09,30.680000,31.150000,30.469999,30.570000,30.570000,1157840
2020-01-10,30.959999,31.340000,30.469999,31.129999,31.129999,1395336
2020-01-13,31.000000,32.740002,30.660000,32.529999,32.529999,2141614
2020-01-14,32.930000,33.939999,32.799999,33.200001,33.200001,1653432
2020-01-15,33.400002,33.520000,32.750000,32.799999,32.799999,1041115
2020-01-16,33.200001,33.430000,32.959999,33.240002,33.240002,856140
2020-01-17,33.450001,33.790001,33.020000,33.220001,33.220001,1555591
2020-01-20,33.470001,34.189999,33.450001,34.000000,34.000000,1554336
2020-01-21,34.189999,34.349998,33.709999,34.330002,34.330002,1363915
2020-01-22,34.590000,35.180000,34.450001,34.820000,34.820000,2322339
2020-01-23,34.830002,36.180000,34.410000,36.119999,36.119999,1859330
2020-01-24,36.419998,37.150002,36.250000,37.000000,37.000000,1717260
2020-01-28,34.799999,36.980000,34.500000,36.700001,36.700001,2704127
2020-01-29,36.849998,38.060001,36.830002,37.990002,37.990002,1894902
2020-01-30,37.939999,38.360001,37.470001,37.799999,37.799999,1912118
2020-01-31,37.980000,38.689999,37.900002,38.549999,38.549999,2157988
2020-02-03,37.570000,38.299999,37.150002,38.060001,38.060001,1712505
2020-02-04,38.500000,39.980000,38.389999,39.880001,39.880001,2086097
2020-02-05,40.150002,40.730000,38.599998,39.200001,39.200001,2444282
2020-02-06,39.700001,39.860001,38.150002,38.990002,38.990002,2866647
2020-02-07,38.880001,39.639999,38.459999,39.439999,39.439999,2047074
2020-02-10,39.330002,39.750000,38.360001,38.520000,38.520000,1653058
2020-02-11,38.750000,39.430000,38.549999,39.389999,39.389999,1166962
2020-02-12,39.070000,39.270000,38.480000,38.610001,38.610001,1620208
2020-02-13,38.549999,39.119999,38.490002,38.560001,38.560001,1012715
2020-02-14,38.500000,38.950001,38.049999,38.610001,38.610001,1756046
2020-02-17,38.709999,39.869999,38.630001,39.520000,39.520000,3134249
2020-02-18,39.549999,39.959999,38.810001,39.869999,39.869999,1508460
2020-02-19,39.849998,40.610001,39.310001,40.500000,40.500000,1368093
2020-02-20,41.000000,41.139999,38.880001,39.259998,39.259998,2194115
2020-02-21,39.279999,39.700001,38.349998,38.990002,38.990002,1597142
2020-02-24,38.049999,38.610001,36.950001,36.970001,36.970001,1656175
2020-02-25,35.000000,37.689999,34.500000,37.029999,37.029999,3887959
2020-02-26,35.730000,36.400002,35.200001,35.970001,35.970001,2866143
2020-02-27,34.500000,38.349998,33.470001,36.470001,36.470001,4289724
2020-02-28,34.000000,34.240002,32.080002,33.169998,33.169998,8773321
2020-03-02,32.180000,33.349998,31.299999,32.639999,32.639999,4427629
2020-03-03,34.000000,35.349998,33.990002,34.660000,34.660000,4153693
2020-03-04,33.500000,34.380001,33.189999,33.189999,33.189999,2248614
2020-03-05,34.310001,34.680000,33.689999,34.369999,34.369999,3074902
2020-03-06,33.540001,34.110001,33.080002,33.855000,33.855000,544091
