Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,3.520000,3.520000,3.430000,3.450000,3.450000,3995587
2020-01-07,3.480000,3.510000,3.405000,3.420000,3.420000,2263956
2020-01-08,3.400000,3.400000,3.160000,3.180000,3.180000,5693994
2020-01-09,3.240000,3.370000,3.240000,3.370000,3.370000,3228657
2020-01-10,3.410000,3.540000,3.410000,3.530000,3.530000,3358062
2020-01-13,3.510000,3.780000,3.460000,3.640000,3.640000,6205707
2020-01-14,3.720000,3.755000,3.630000,3.630000,3.630000,6012197
2020-01-15,3.630000,3.670000,3.550000,3.570000,3.570000,3125408
2020-01-16,3.590000,3.760000,3.560000,3.730000,3.730000,4832969
2020-01-17,3.780000,3.920000,3.780000,3.820000,3.820000,5132590
2020-01-20,3.890000,3.900000,3.680000,3.810000,3.810000,2643001
2020-01-21,3.820000,3.880000,3.710000,3.710000,3.710000,2574466
2020-01-22,3.740000,4.050000,3.730000,4.020000,4.020000,7045183
2020-01-23,4.000000,4.040000,3.940000,3.990000,3.990000,2130029
2020-01-24,4.040000,4.200000,4.020000,4.080000,4.080000,4110578
2020-01-28,3.930000,3.990000,3.810000,3.850000,3.850000,3424688
2020-01-29,3.950000,4.080000,3.940000,4.080000,4.080000,3738247
2020-01-30,4.030000,4.180000,3.875000,3.940000,3.940000,5593318
2020-01-31,4.040000,4.080000,3.990000,4.040000,4.040000,3250300
2020-02-03,3.900000,3.925000,3.840000,3.870000,3.870000,3417866
2020-02-04,3.950000,4.380000,3.950000,4.350000,4.350000,8819778
2020-02-05,4.480000,4.480000,4.240000,4.320000,4.320000,6374670
2020-02-06,4.340000,4.395000,4.165000,4.230000,4.230000,3959940
2020-02-07,4.180000,4.210000,4.070000,4.100000,4.100000,4937744
2020-02-10,4.110000,4.160000,4.020000,4.070000,4.070000,2249125
2020-02-11,4.090000,4.220000,4.050000,4.080000,4.080000,7882501
2020-02-12,4.100000,4.140000,4.020000,4.060000,4.060000,2174219
2020-02-13,4.080000,4.140000,4.040000,4.080000,4.080000,2810853
2020-02-14,4.090000,4.160000,4.020000,4.090000,4.090000,3772864
2020-02-17,4.090000,4.090000,3.860000,3.880000,3.880000,4562091
2020-02-18,3.900000,3.920000,3.830000,3.840000,3.840000,3036692
2020-02-19,3.850000,3.880000,3.800000,3.880000,3.880000,2031799
2020-02-20,3.880000,3.910000,3.720000,3.750000,3.750000,2515257
2020-02-21,3.770000,3.800000,3.640000,3.650000,3.650000,2987466
2020-02-24,3.610000,3.610000,3.450000,3.550000,3.550000,4420967
2020-02-25,3.310000,3.530000,3.260000,3.470000,3.470000,6149325
2020-02-26,3.360000,3.380000,3.260000,3.290000,3.290000,4669777
2020-02-27,3.250000,3.490000,3.020000,3.030000,3.030000,6591260
2020-02-28,2.800000,2.920000,2.660000,2.720000,2.720000,10642962
2020-03-02,2.650000,2.850000,2.530000,2.840000,2.840000,8281861
2020-03-03,3.050000,3.160000,2.700000,2.730000,2.730000,9566650
2020-03-04,2.680000,2.750000,2.550000,2.580000,2.580000,5490783
2020-03-05,2.690000,2.720000,2.440000,2.500000,2.500000,7305646
2020-03-06,2.420000,2.470000,2.320000,2.380000,2.380000,3163312
